seed,method,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,elapsed_seconds,selected_residual_window
2032,M3_Quantile_ANN,12.091034853164082,3.4772165381471547,2.7174728136371264,0.875,87.5,10.499219705347228,9.791005236850092,18.345787037678466,0.055,0.07,94.89482500002487,
2032,M4_Quantile_Minusformer,12.052832188005787,3.471718909705362,2.697049412759948,0.4,40.0,4.0753890671546324,3.7613930680872607,54.99730777536567,0.305,0.295,95.24806470004842,
2032,M5_SortBootstrap_ANN,11.38517538003446,3.374192552305582,2.624497137367117,0.685,68.5,6.196982499059544,6.073829594421948,32.22648174590001,0.15,0.165,97.57369000004837,
2032,M6_OOT_Adaptive_EnbPI,13.219792213180526,3.6359032183462374,2.7601205319750646,0.94,94.0,14.37148145607538,14.12541529202105,18.16224257235186,0.03,0.03,356.2602320999722,300.0
2033,M1_DistPred_ANN,15.414293858833107,3.9261041579195406,3.177191999622463,0.945,94.5,15.238049987318556,15.141943342043348,18.222821439647728,0.035,0.02,12.588496000040323,
2033,M2_DistPred_Minusformer,18.50583849977927,4.301841291793465,3.4940074261138405,0.88,88.0,13.43107620811705,13.094354830292998,22.21005544725732,0.045,0.075,13.061699700076133,
2033,M3_Quantile_ANN,16.277698147432808,4.034562943793641,3.19050258018088,0.86,86.0,12.042041716935678,11.701880248009607,22.262245309278725,0.045,0.095,12.654783400008455,
2033,M4_Quantile_Minusformer,16.06204591201422,4.007748234609332,3.1215765755328237,0.485,48.5,5.383711036505741,5.144974003301417,52.85975977699246,0.28,0.235,13.042290000070352,
2033,M5_SortBootstrap_ANN,14.254031799650498,3.775451204776788,3.0198652634650887,0.64,64.0,6.825939339198269,6.749521014689049,37.054876523664355,0.175,0.185,15.526913000037894,
2033,M6_OOT_Adaptive_EnbPI,16.467474892853367,4.058013663463119,3.1980992807663666,0.895,89.5,13.237682620501086,13.318779120883361,22.158557405333585,0.06,0.045,379.4876511999755,400.0
2034,M1_DistPred_ANN,8.363034452571439,2.8918911550353066,2.285255582194668,0.955,95.5,11.756797676357046,11.359331760720785,13.690036685324458,0.03,0.015,28.954090199957136,
2034,M2_DistPred_Minusformer,9.14124840157494,3.023449751786019,2.3941703922132573,0.89,89.0,10.200662381919637,9.661705996095035,16.380856082360673,0.045,0.065,29.571769900037907,
2034,M3_Quantile_ANN,8.713059784876412,2.951789251433173,2.3188279063696804,0.935,93.5,11.389646273525969,11.41201514957748,13.719479274913203,0.03,0.035,28.87554340000497,
2034,M4_Quantile_Minusformer,9.62271370028982,3.102049919051887,2.4978866141161324,0.935,93.5,13.842128355773703,12.969571913902286,16.56860718798757,0.02,0.045,31.087037799996324,
2034,M5_SortBootstrap_ANN,7.351815937293402,2.711423230942267,2.118709609575406,0.705,70.5,5.548270526221558,5.459864031280547,24.259970780915285,0.14,0.155,31.66104490001453,
2034,M6_OOT_Adaptive_EnbPI,9.368288596052624,3.0607660145873,2.422718559834209,0.915,91.5,11.556415651517533,11.50359761519986,15.212494973543198,0.035,0.05,397.80517090001376,400.0
2035,M1_DistPred_ANN,10.302227814785551,3.2097083691179096,2.5825637831697263,0.925,92.5,12.035015213147823,11.88331031723907,16.41253982319214,0.035,0.04,76.3618279999937,
2035,M2_DistPred_Minusformer,10.94318039930033,3.3080478230068455,2.655275824330748,0.92,92.0,12.012819050804797,11.629213960940403,17.34511850731172,0.035,0.045,76.77255269995658,
2035,M3_Quantile_ANN,10.329327072882979,3.213927048469361,2.546204814594507,0.915,91.5,11.76938005234403,11.317568954761365,17.74772511416152,0.03,0.055,76.34114720002981,
2035,M4_Quantile_Minusformer,9.75844392824645,3.1238508172200623,2.50916483499246,0.425,42.5,3.945130228542807,3.879727028368065,44.4781858364668,0.29,0.285,76.77282209997065,
2035,M5_SortBootstrap_ANN,8.695337779307458,2.9487858144170893,2.3515270223034737,0.705,70.5,6.072929618049497,5.954600945702237,25.375222398237394,0.145,0.15,78.6995594999753,
2035,M6_OOT_Adaptive_EnbPI,10.37344924025278,3.2207839480866736,2.608008495485292,0.985,98.5,16.61533639229716,16.50992624516889,16.924843149325262,0.005,0.01,384.0188852000283,300.0
2036,M1_DistPred_ANN,7.717597665450545,2.778056454691039,2.2523551443282623,0.88,88.0,9.44545787228011,9.255178205059998,12.374308637716194,0.045,0.075,80.73171640001237,
2036,M2_DistPred_Minusformer,7.271672849382466,2.696603947446207,2.1989040350532307,0.895,89.5,10.723278058895097,10.21211531505401,13.727141495615049,0.04,0.065,81.02607289998559,
2036,M3_Quantile_ANN,7.4836354610175295,2.73562341359653,2.1737342753124866,0.9,90.0,10.19647618544959,10.235321818131258,13.122611453169489,0.04,0.06,80.6729137999937,
2036,M4_Quantile_Minusformer,7.935799023481642,2.8170550267045975,2.322072579960264,0.68,68.0,5.696252018490064,5.616147549272439,23.886089044223255,0.09,0.23,81.14234869997017,
2036,M5_SortBootstrap_ANN,6.392484815835202,2.5283363731582873,2.0060560506241876,0.715,71.5,5.422700957741778,5.427701158876486,21.075673425584572,0.135,0.15,83.85329030000139,
2036,M6_OOT_Adaptive_EnbPI,7.595653948100026,2.756021398338559,2.225459316621933,0.965,96.5,13.9271984054743,14.532201171653815,14.686519852757282,0.01,0.025,367.3640024999622,200.0
2037,M1_DistPred_ANN,7.187810639627414,2.6810092576541793,2.162176734610174,0.97,97.0,12.069014655471308,11.983681391522808,13.591995095175031,0.02,0.01,21.35200040001655,
2037,M2_DistPred_Minusformer,7.641357059161306,2.7643004647037386,2.231087252568259,0.93,93.0,10.194497661710244,10.016835786582362,13.024496508997661,0.035,0.035,21.90437699999893,
2037,M3_Quantile_ANN,6.876001596327909,2.6222131103950934,2.104349889886615,0.92,92.0,8.912946341753463,8.819885643179756,12.159068397465694,0.035,0.045,21.364413600007538,
2037,M4_Quantile_Minusformer,8.974997068005859,2.9958299464431986,2.3788803124330413,0.8,80.0,9.241017988443833,7.86383952192011,17.74780088342621,0.125,0.075,23.811711899994407,
2037,M5_SortBootstrap_ANN,6.494218041197764,2.5483755691023573,2.038559430675444,0.655,65.5,5.124906602463211,5.1481683831923934,21.984007209818184,0.17,0.175,23.98441609996371,
2037,M6_OOT_Adaptive_EnbPI,7.981087864046593,2.8250819216522896,2.2945984599280207,0.965,96.5,11.241432400278404,11.261574315532641,12.40770646272111,0.02,0.015,371.6219375000219,300.0
2038,M1_DistPred_ANN,6.519221441274369,2.5532766088448717,2.0282828476634274,0.915,91.5,9.749465844295223,9.449193830709984,12.05147131507581,0.05,0.035,12.850009299989324,
2038,M2_DistPred_Minusformer,6.777435007465597,2.6033507269412617,2.040736663826188,0.88,88.0,9.547299269995888,8.959857487596505,14.52389710109619,0.05,0.07,14.179114900063723,
2038,M3_Quantile_ANN,6.840649743991884,2.6154635810868947,2.072642313951302,0.885,88.5,9.111870865187845,9.186027207964708,12.744339306635425,0.05,0.065,12.817131799994968,
2038,M4_Quantile_Minusformer,6.495699455798084,2.548666211138305,2.027450081908624,0.655,65.5,5.139575380943021,5.13471161977845,23.5774036912277,0.19,0.155,13.442353900056332,
2038,M5_SortBootstrap_ANN,6.1626978224591245,2.482478161527131,1.9477792953030368,0.685,68.5,5.2253848734211665,5.21296965120395,21.08493758708575,0.155,0.16,15.964844700007234,
2038,M6_OOT_Adaptive_EnbPI,6.416033116095662,2.5329889688065483,2.0137236774770533,0.97,97.0,11.906374960446687,11.831290065577768,13.136842203324031,0.02,0.01,371.5069062000257,400.0
2039,M1_DistPred_ANN,13.002836145070665,3.6059445565719206,2.790570187262282,0.93,93.0,13.895381964584535,12.664889165794328,16.684911848432876,0.04,0.03,102.99703349999618,
2039,M2_DistPred_Minusformer,15.2322823177188,3.902855661912031,3.059304190782716,0.915,91.5,12.975298500200456,12.012703276266478,18.88203857597986,0.045,0.04,103.43097079993458,
2039,M3_Quantile_ANN,13.110985859994896,3.620909534908998,2.8259358488598654,0.925,92.5,13.342416027923768,12.142081096142444,16.93563567882662,0.035,0.04,102.96777449996443,
2039,M4_Quantile_Minusformer,16.146760200007048,4.0183031493414045,3.0694949036236956,0.825,82.5,11.73469235136146,10.74511692863398,21.637105648247843,0.09,0.085,103.77051770000253,
2039,M5_SortBootstrap_ANN,11.605623678123361,3.406702757524255,2.6203377852145673,0.685,68.5,6.402888398649825,5.980199965352944,30.206747617323,0.15,0.165,105.5793735999614,
2039,M6_OOT_Adaptive_EnbPI,12.67142543269187,3.5596945701410774,2.781242217545438,0.935,93.5,12.729093476050684,12.592934608919405,18.766328254319436,0.035,0.03,368.1675282000215,200.0
